id,status,rawText,description,message,settledAt,createdAt,transactionType,currencyCode,value,valueInBaseUnits,cardNumberSuffix,parentCategory,category,cardPurchaseMethod
d397b95d-c4e9-469d-9b0d-92f848aa787d,HELD,FIX COFFEE TRUST       COLLEGE,FIX. Specialty Coffee,,,2024-11-17T13:57:31+11:00,,AUD,-20.00,-2000,5160,good-life,restaurants-and-cafes,
b19edb1c-5b4b-4761-be0b-410b9c5b76a3,HELD,FIX COFFEE TRUST       COLLEGE,FIX. Specialty Coffee,,,2024-11-17T11:08:06+11:00,,AUD,-6.50,-650,5160,good-life,restaurants-and-cafes,
07eb14ec-b3eb-401e-a1bf-45fd186edada,HELD,DEPARTMENT OF IMMIGRAT BATTARA,Department of Immigration and Emigration,,,2024-11-16T20:57:56+11:00,,AUD,-80.88,-8088,5160,good-life,holidays-and-travel,
6360385e-8eb1-42c6-85b0-db786a9984f3,SETTLED,,Joe Widdrington,Shops,2024-11-16T18:08:03+11:00,2024-11-16T18:08:03+11:00,Payment,AUD,-16.00,-1600,,,,
0e52a2d2-a301-445a-a8b5-1ca5ccb6e5f6,SETTLED,"Google Windy com We,Barangaroo","Google Windy com We,Barangaroo",,2024-11-17T06:32:07+11:00,2024-11-16T17:32:16+11:00,Purchase,AUD,-37.99,-3799,5160,good-life,games-and-software,
08fb0005-8e30-47f4-97c1-d27fdef15766,SETTLED,ERIN PICHLER,Joe Widdrington,Dinner,2024-11-16T16:19:07+11:00,2024-11-16T16:19:07+11:00,Osko Payment Received,AUD,53.00,5300,,,,
f563fe72-b95b-4779-852c-08a553b4a8b5,SETTLED,,Joe Widdrington,Hello fresh,2024-11-16T14:26:20+11:00,2024-11-16T14:26:20+11:00,Payment,AUD,-99.00,-9900,,,,
c11ab719-74ec-4173-b253-526f3626ffa7,SETTLED,,Transfer from Savings,,2024-11-16T14:25:48+11:00,2024-11-16T14:25:48+11:00,Transfer,AUD,200.00,20000,,,,
dd27c739-5626-4fba-b1d5-acc7ae5e6c1d,SETTLED,,Transfer to Spending,,2024-11-16T14:25:48+11:00,2024-11-16T14:25:48+11:00,Transfer,AUD,-200.00,-20000,,,,
320063f4-e243-4a94-ba95-4d522bcf7c1d,HELD,RUNDLE MALL FOODLAND   ADELAID,Foodland,,,2024-11-16T13:06:07+11:00,,AUD,-27.29,-2729,5160,home,groceries,
c8db8a85-934d-4fb7-8e19-433052ee537e,HELD,CONNOR CLOTHING PTY    ADELAID,Connor,,,2024-11-16T12:58:41+11:00,,AUD,-69.99,-6999,5160,personal,clothing-and-accessories,
a5db445d-ced7-43f8-9dc7-138a0d5ebeeb,HELD,REBEL RUNDLE MALL      ADELAID,rebel,,,2024-11-16T12:40:17+11:00,,AUD,-79.98,-7998,5160,personal,clothing-and-accessories,
7acb05bf-9c73-4a59-8c9d-6e6b4cb92f05,SETTLED,"M J BALE, ADELAIDE",M.J. Bale,,2024-11-17T06:32:07+11:00,2024-11-16T11:58:41+11:00,Purchase,AUD,-957.90,-95790,5160,personal,clothing-and-accessories,
2e2036da-4431-4285-b171-b55343258541,SETTLED,,Transfer to Spending,,2024-11-16T11:58:35+11:00,2024-11-16T11:58:35+11:00,Transfer,AUD,-900.00,-90000,,,,
6ff17a47-c792-4311-be67-0b34bf22687f,SETTLED,,Transfer from Savings,,2024-11-16T11:58:35+11:00,2024-11-16T11:58:35+11:00,Transfer,AUD,900.00,90000,,,,
7a53c0e2-ce8a-408a-862d-f86f23ec973d,HELD,FIX COFFEE TRUST       COLLEGE,FIX. Specialty Coffee,,,2024-11-16T10:18:19+11:00,,AUD,-7.00,-700,5160,good-life,restaurants-and-cafes,
708eea32-17e7-4292-a5b4-060908690eff,SETTLED,,Joe Widdrington,Sri Lanka to Malaysia,2024-11-15T20:13:16+11:00,2024-11-15T20:13:16+11:00,Payment,AUD,-408.00,-40800,,good-life,holidays-and-travel,
03622673-c4b8-4e00-bc2f-f6ecaca79a32,SETTLED,UBER EATS* EATS\,Uber Eats,,2024-11-15T19:00:21+11:00,2024-11-15T19:00:21+11:00,Purchase,AUD,-79.49,-7949,5160,good-life,takeaway,
b30401aa-2673-4f58-9b50-ffbdc4b1f668,SETTLED,"Unihealth, Adelaide",University Health Practice,,2024-11-16T02:51:37+11:00,2024-11-15T15:37:24+11:00,Purchase,AUD,-335.15,-33515,5160,personal,health-and-medical,
8e72ac2d-31ca-486b-aed6-86c2de1cb899,SETTLED,"J & LEV PTY LTD, ADELAIDE",Jarn Leva Vietnamese,,2024-11-16T02:51:37+11:00,2024-11-15T12:13:34+11:00,Purchase,AUD,-9.59,-959,5160,good-life,restaurants-and-cafes,
47e20684-39fc-477e-951e-316ee927e685,SETTLED,,Transfer from Spending,,2024-11-15T11:15:34+11:00,2024-11-15T11:15:34+11:00,Transfer,AUD,5200.00,520000,,,,
fb6eed85-2bef-401a-bef0-8895ea903aa5,SETTLED,,Transfer to Savings,,2024-11-15T11:15:33+11:00,2024-11-15T11:15:33+11:00,Transfer,AUD,-5200.00,-520000,,,,
f08f9e4e-5a10-4d95-a1ca-800b5fb6d7e8,SETTLED,RICHARD RETALLACK,Richard Retallack,Tax return refund,2024-11-15T11:08:54+11:00,2024-11-15T11:08:54+11:00,Osko Payment Received,AUD,5681.14,568114,,,,
f54e8955-f1b1-43d8-9402-cc44f6c45f14,SETTLED,"RUNDLE MALL FOODLAND, ADELAIDE",Foodland,,2024-11-16T02:51:37+11:00,2024-11-15T09:07:14+11:00,Purchase,AUD,-8.40,-840,5160,home,groceries,
fa26c30a-918d-453a-984c-7278102f42b1,SETTLED,,Joe Widdrington,Zambreros,2024-11-14T20:00:14+11:00,2024-11-14T20:00:14+11:00,Payment,AUD,-23.30,-2330,,good-life,takeaway,
d46dcfb9-b517-4282-9468-47f39acd134a,SETTLED,"TERRY WHITE CHMRT RND,ADELAIDE",TerryWhite Chemmart,,2024-11-17T06:32:06+11:00,2024-11-14T16:18:08+11:00,Purchase,AUD,-12.60,-1260,5160,personal,health-and-medical,
